StoreID,StoreName,AreaCode
S00340207,MAHENDRA PAN GHAR,710006
S00340218,MAA TARA BHANDER,710006
S00340223,GUPTA PAN GHAR,710006
S00340224,MAA KALI SNACKS,710006
S00340227,SONA PAN GHAR,710006
S00340229,CENTRAL SWEETS,710006
S00340230,KRISHNA PAN GHAR,710006
S00340233,BISHU PAN GHAR,710006
S00340237,BIKASH STORES,710006
S00340241,SANJAY FANCY,710006
S00340242,RASTOGI PAN GHAR,710006
S00340243,BISWADEEP TRADERS,710006
S00340251,DAS BROTHER,710006
S00340252,RAJU PAN GHAR,710006
S00340254,ANNOPURNA BHANDAR,710006
S00340255,RITA STORE,710006
S00340260,KALYANI STORE,710006
S00340263,DUTTA BHANDERS,710006
S00340264,BISWAKARMA BHANDAR,710006
S00340267,RAMESH PAN GHAR,710006
S00340274,ANKITA COMMUNICATION,710006
S00340284,MOHENE MONDAL,710006
S00340304,PARIMAL MITRA,710006
S00340305,ANNAPURNA BHANDAR,710006
S00340313,LOKNATH PAN GAHR,710006
S00340331,MAA PAN GHARS,710006
S00340334,GOPAL PERA  BHANDAR,710006
S00340336,JoYATI ENTERPRISE,710006
S00340338,LOKNATH PAN GAHRS,710006
S00340341,DAS STORE,710006
S00340361,RUPAM STORE,710006
S00340362,K C CHANDRA,710006
S00340373,SAHA PAN GHAR,710006
S00340375,NANDI BEKARY,710006
S00340376,PAPPU STORE,710006
S00340379,LOKNATH BHANDAR,710006
S00340381,MAA DURGA BHANDAR,710006
S00340391,RAY BHANDAR,710006
S00340392,DEBNATH PAN GHAR,710006
S00340394,SAHA BHANDAR,710006
S00340395,FULESWARI STORE,710006
S00340397,SUBHA BHANDAR,710006
S00340398,DILIP PAN GHARS,710006
S00340399,PRABHA ENTERPRISE,710006
S00340407,MATRI BHANDARS,710006
S00340410,GURUKRIPA BHANDAR,710006
S00340413,GOUTAM STORE,710006
S00340416,DIPSIKHA RESTURENT,710006
S00340418,PRATIKHA BHANDAR,710006
S00340419,MILAN STORES,710006
S00340427,NAGINA PRASAD,710006
S00340428,APNA BAZAR,710006
S00340429,APNA CHOICE,710006
S00340430,KAMALA STORES,710006
S00340432,BISWAS STORES,710006
S00340433,RADHIKA VARITY STORE,710006
S00340435,KUNDU VARITY STORE,710006
S00340437,D B STORE,710006
S00340438,BASUDEV P C O,710006
S00340444,VARUN CATTERAS,710006
S00340445,SANJAY PAN GHAR,710006
S00340447,JYOTI PAN GHAR,710006
S00340448,SRI KRISHNA STORE,710006
S00340451,ARUN STORE,710006
S00340457,MANAMAYA STORE,710006
S00340463,GOPAL STORES,710006
S00340468,CHOWDHURY STORE,710006
S00340471,RADHA GOBINDA BHANDAR,710006
S00340472,SAHA PAN GHARS,710006
S00340473,SAMBHU STORE,710006
S00340474,SAMIR STORE,710006
S00340475,KRISHAN KANHAIYA STORE,710006
S00340476,RANI STORE,710006
S00340477,CHARU BHANDAR,710006
S00340478,ROY RANI VARITY STORE,710006
S00340479,SANKAR VAWAL,710006
S00340484,S  DUTTA,710006
S00340489,B K SINGH,710006
S00340494,KULDEEP STORE,710006
S00340499,TAZ STORE,710006
S00340500,GITA VARITY STORE,710006
S00340501,MAA BHARATI STORE,710006
S00340504,BISWAJIT BHANDAR,710006
S00340505,PIYALI STORE,710006
S00340508,MAA ANJALI BHANDAR,710006
S00340509,PAPPU SAHA,710006
S00340510,SHREYA STORE,710006
S00340512,SANTOSH STORE,710006
S00340513,HIMADRI STORE,710006
S00340514,SANJIB DUTTA,710006
S00340517,GOSH TELECOM,710006
S00340537,PRASAD GRAIN STORE,710006
S00340539,SATRUGHNA BHANDAR,710006
S00340540,BANSAL STORE,710006
S00340541,PRITAM STORE,710006
S00340557,ADARSHA BHANDAR,710006
S00340558,DEPARTMENTAL STORE,710006
S00340562,DAS VARITIES,710006
S00340564,RANDIP STORE,710006
S00340565,DADA BHAI VARIETY STORE,710006
S00340566,YOUR CHOICE,710006
S00340567,JAI BABA SANNASI BHANDER,710006
S00340568,MAA SARODA BHANDAR,710006
S00340575,USHA BHANDAR,710006
S00340583,SHAHBAZIA GENERALS STORES,710006
S00340587,GREEN VALLIE,710006
S00340593,SAHA BROTHERS,710006
S00340594,SAHA STORES,710006
S00340596,KUSHMANDA STORES,710006
S00340598,PAUL BROTHERSS,710006
S00340599,GANESH HOTEL,710006
S00340608,A T PAUL,710006
S00340610,UMA PAN GHAR,710006
S00340611,MUNNA PAN GHAR,710006
S00340612,SHIVJYOTI PAN GHAR,710006
S00340616,SAHA BHANDARS,710006
S00340617,DAM BHANDAR,710006
S00340620,PUJA BHANDAR,710006
S00340623,SWAPAN PAN GHAR,710006
S00340631,NEW BALAJI STORE,710006
S00340635,TARACHAND PAN GHAR,710006
S00340641,GANESH STORE,710006
S00340643,MAHABIRTRADING CO,710006
S00340647,VARITY STORE,710006
S00340648,MANDAL STORE,710006
S00340649,U R S,710006
S00340650,ANNAPURNA BHANDARS,710006
S00340651,UNIQUE STORE,710006
S00340652,VISHAL HELLOW CENTER,710006
S00340653,SISUBALA STORE,710006
S00340655,DUBEY STORE,710006
S00340661,TARZAN PAN GHAR,710006
S00340668,HAMRO HOTEL,710006
S00340670,ROSI SHERPA,710006
S00340674,RAJ KUMAR THAKUR,710006
S00340683,MA ANNAPURNA BHANDER,710006
S00340684,ANNAPURNA STORES,710006
S00340685,SNIDGHA STORES,710006
S00340686,UMA STORES,710006
S00340687,PRAVATI STORES,710006
S00340688,SASHI PAN GHAR,710006
S00340689,APPAYAN STORES,710006
S00340690,UTTAM PAN GHARS,710006
S00340691,SAHA STORES,710006
S00340692,AMIYA BHANDER,710006
S00340693,MILLAN STORE,710006
S00340695,B SAHA,710006
S00340707,NONI PAN GHAR,710006
S00340708,BHOWMIK STORES,710006
S00340709,LOKENATH PAN GHAR,710006
S00340720,SANDHYA STORES,710006
S00340721,MAMTA STORES,710006
S00340724,MAHAMAYA STORES,710006
S00340725,NIRMAL BROTHERS,710006
S00340726,SAMRAT ENTERPRISE,710006
S00340730,BISWAS STORES,710006
S00340731,BABU PAN GHAR,710006
S00340733,MADAN BHANDER,710006
S00340735,PUJA PAN GHARS,710006
S00340736,BISHNU STORES,710006
S00340748,BHOWAL STORES,710006
S00340749,RAJU STORES,710006
S00340750,LAXMI STORESS,710006
S00340754,AROTI STORE,710006
